Pos,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
M,Doyle,4.5,4.5,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Lyanco,4.4,4.4,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0.555,0.031,7,0.222
F,Archer,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Stevens,3.9,3.9,Brentford,0,0,1,0.044,0,0,1,0.045,0,0,2,0.059,0,0,1,0.041
D,Nkounkou,4.0,4.0,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Lonergan,4.0,4.0,Everton,0,0,0,0,0.035,0.006,0.30500000000000005,0.05399999999999999,0.35,0.015,0.32750000000000007,0.05099999999999999,0.32750000000000007,0.052,2,0.084
G,Okonkwo,3.9,3.9,Arsenal,0,0,0,0,0,0,0.37000000000000005,0.048,0,0,0,0,0.29500000000000004,0.054000000000000006,2,0.084
G,Jakupovic,4.0,4.0,Leicester,0,0,1,0.042,0.005,0.001,0.02,0.003,1,0.044,0.39333333333333337,0.043,0,0,1,0.039
G,Elliot,4.0,4.0,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Lennon,4.9,4.9,Burnley,69,4.782,36,4.045,20,2.032,18.853333333333335,2.08,23.5,0.847,19.926666666666666,1.917,19.926666666666666,2.2479999999999998,47,1.663
M,McCarron,4.4,4.4,Leeds,0,0,0.55,0.044000000000000004,0.05,0.002,0,0,0,0,0.55,0.045,0.55,0.045,0,0
F,Gelhardt,4.6,4.6,Leeds,3,0.298,2.25,0.22699999999999998,1.1,0.11,1.05,0.115,3,0.147,1.1,0.117,0.55,0.056,2,0.095
M,Cornet,5.9,5.9,Burnley,74.5,6.045,45.333333333333336,5.752,27.913333333333338,3.0279999999999996,26.986666666666668,3.2600000000000002,31.5,1.38,25.213333333333328,2.5999999999999996,25.620000000000005,3.2760000000000002,64,2.384
F,Ronaldo,12.5,12.5,Man Utd,72,5.026,67,5.614,67,2.8,66,4.454,12.600000000000001,0.568,63,4.97,66,4.431,69,5.603
D,Kabak,4.3,4.3,Norwich,1,0.014,3,0.074,2.56,0.165,3.06,0.156,0.8,0.007,1.635,0.079,3.815,0.256,9,0.188
M,Normann,4.5,4.5,Norwich,33,1.068,33,1.185,17.07,1.2859999999999998,15.45,1.108,4.8,0.108,20.165,1.339,18.53,1.383,34,1.117
M,Vlasic,5.6,5.6,West Ham,9,0.561,11,0.643,11,0.537,15,0.927,2.52,0.082,16,1.025,16,0.917,17,1.149
F,Hwang,5.4,5.4,Wolves,38,3.501,36.3,2.8489999999999998,37.95,3.2950000000000004,36.15,3.0060000000000002,65,3.084,34.65,3.107,31.9,2.776,62,2.115
D,Cucurella,5.1,5.1,Brighton,86,4.449,83,3.662,45.065,3.528,44.345,2.348,7.7,0.116,42.735,4.5760000000000005,41.07,2.3779999999999997,74,2.219
D,Roberts,4.5,4.5,Burnley,59,3.721,37.666666666666664,3.626,23.179999999999996,1.7109999999999999,23.326666666666668,2.412,28.5,1.011,23.99333333333333,1.436,22.77333333333333,2.5420000000000003,57,1.449
F,Edouard,6.5,6.5,Crystal Palace,55,5.631,53,3.263,56,2.669,52,2.122,18.549999999999997,0.947,51,2.631,53,2.76,52,2.762
